steps=9 | du=13 | best_du=56 | best_ep=1 | du_mean30=27.444 | random_action=39.87%:   1%|▊                                                                                  | 10/1000 [00:15<23:19,  1.41s/it]
steps=19 | du=28 | best_du=56 | best_ep=1 | du_mean30=24.211 | random_action=17.16%:   2%|█▋                                                                                | 20/1000 [00:30<23:35,  1.44s/it]
steps=29 | du=69 | best_du=69 | best_ep=28 | du_mean30=25.276 | random_action=9.24%:   3%|██▍                                                                             | 30/1000 [00:56<1:06:53,  4.14s/it]
steps=39 | du=39 | best_du=78 | best_ep=30 | du_mean30=26.533 | random_action=6.48%:   4%|███▎                                                                              | 40/1000 [01:22<49:25,  3.09s/it]
steps=49 | du=42 | best_du=141 | best_ep=46 | du_mean30=50.033 | random_action=5.52%:   5%|███▉                                                                           | 50/1000 [02:41<1:24:35,  5.34s/it]
steps=59 | du=13 | best_du=141 | best_ep=46 | du_mean30=58.100 | random_action=5.18%:   6%|████▊                                                                            | 60/1000 [03:19<50:39,  3.23s/it]
steps=69 | du=33 | best_du=141 | best_ep=46 | du_mean30=60.700 | random_action=5.06%:   7%|█████▋                                                                           | 70/1000 [03:47<37:40,  2.43s/it]
steps=79 | du=36 | best_du=141 | best_ep=46 | du_mean30=39.400 | random_action=5.02%:   8%|██████▍                                                                          | 80/1000 [04:08<35:39,  2.33s/it]
steps=89 | du=70 | best_du=141 | best_ep=46 | du_mean30=36.900 | random_action=5.01%:   9%|███████▎                                                                         | 90/1000 [04:39<44:15,  2.92s/it]
steps=99 | du=28 | best_du=141 | best_ep=46 | du_mean30=33.300 | random_action=5.00%:  10%|████████                                                                        | 100/1000 [04:58<29:23,  1.96s/it]
steps=109 | du=13 | best_du=141 | best_ep=46 | du_mean30=34.733 | random_action=5.00%:  11%|████████▋                                                                      | 110/1000 [05:22<33:13,  2.24s/it]
steps=119 | du=42 | best_du=141 | best_ep=46 | du_mean30=28.900 | random_action=5.00%:  12%|█████████▍                                                                     | 120/1000 [05:42<34:35,  2.36s/it]
steps=129 | du=26 | best_du=141 | best_ep=46 | du_mean30=31.133 | random_action=5.00%:  13%|██████████▎                                                                    | 130/1000 [06:04<30:18,  2.09s/it]
steps=139 | du=61 | best_du=141 | best_ep=46 | du_mean30=34.300 | random_action=5.00%:  14%|███████████                                                                    | 140/1000 [06:35<44:47,  3.13s/it]
steps=149 | du=45 | best_du=141 | best_ep=46 | du_mean30=36.333 | random_action=5.00%:  15%|███████████▊                                                                   | 150/1000 [06:58<32:06,  2.27s/it]
steps=159 | du=16 | best_du=141 | best_ep=46 | du_mean30=38.400 | random_action=5.00%:  16%|████████████▋                                                                  | 160/1000 [07:30<49:42,  3.55s/it]
steps=169 | du=15 | best_du=141 | best_ep=46 | du_mean30=34.733 | random_action=5.00%:  17%|█████████████▍                                                                 | 170/1000 [07:50<28:39,  2.07s/it]
steps=179 | du=50 | best_du=145 | best_ep=173 | du_mean30=44.067 | random_action=5.00%:  18%|██████████████                                                                | 180/1000 [08:36<57:09,  4.18s/it]
steps=189 | du=39 | best_du=145 | best_ep=173 | du_mean30=50.167 | random_action=5.00%:  19%|██████████████▊                                                               | 190/1000 [09:21<58:27,  4.33s/it]
steps=199 | du=24 | best_du=145 | best_ep=173 | du_mean30=52.600 | random_action=5.00%:  20%|███████████████▌                                                              | 200/1000 [09:49<32:45,  2.46s/it]
steps=209 | du=12 | best_du=145 | best_ep=173 | du_mean30=42.333 | random_action=5.00%:  21%|████████████████▍                                                             | 210/1000 [10:09<18:52,  1.43s/it]
steps=219 | du=72 | best_du=145 | best_ep=173 | du_mean30=33.100 | random_action=5.00%:  22%|█████████████████▏                                                            | 220/1000 [10:33<36:51,  2.84s/it]
steps=229 | du=58 | best_du=145 | best_ep=173 | du_mean30=33.800 | random_action=5.00%:  23%|█████████████████▉                                                            | 230/1000 [11:02<33:50,  2.64s/it]
steps=239 | du=12 | best_du=145 | best_ep=173 | du_mean30=30.767 | random_action=5.00%:  24%|██████████████████▋                                                           | 240/1000 [11:17<16:25,  1.30s/it]
steps=249 | du=12 | best_du=145 | best_ep=173 | du_mean30=24.967 | random_action=5.00%:  25%|███████████████████▌                                                          | 250/1000 [11:28<11:34,  1.08it/s]
steps=259 | du=10 | best_du=145 | best_ep=173 | du_mean30=15.933 | random_action=5.00%:  26%|████████████████████▎                                                         | 260/1000 [11:38<10:59,  1.12it/s]
steps=269 | du=14 | best_du=145 | best_ep=173 | du_mean30=19.167 | random_action=5.00%:  27%|█████████████████████                                                         | 270/1000 [12:01<21:00,  1.73s/it]
steps=279 | du=37 | best_du=145 | best_ep=173 | du_mean30=21.467 | random_action=5.00%:  28%|█████████████████████▊                                                        | 280/1000 [12:19<27:22,  2.28s/it]
steps=289 | du=95 | best_du=145 | best_ep=173 | du_mean30=28.467 | random_action=5.00%:  29%|██████████████████████▌                                                       | 290/1000 [12:45<36:56,  3.12s/it]
steps=299 | du=12 | best_du=145 | best_ep=173 | du_mean30=29.300 | random_action=5.00%:  30%|███████████████████████▍                                                      | 300/1000 [13:11<25:55,  2.22s/it]
steps=309 | du=19 | best_du=145 | best_ep=173 | du_mean30=39.500 | random_action=5.00%:  31%|████████████████████████▏                                                     | 310/1000 [13:47<26:25,  2.30s/it]
steps=319 | du=42 | best_du=145 | best_ep=173 | du_mean30=41.233 | random_action=5.00%:  32%|████████████████████████▉                                                     | 320/1000 [14:14<27:03,  2.39s/it]
steps=329 | du=32 | best_du=145 | best_ep=173 | du_mean30=39.000 | random_action=5.00%:  33%|█████████████████████████▋                                                    | 330/1000 [14:35<21:12,  1.90s/it]
steps=339 | du=33 | best_du=145 | best_ep=173 | du_mean30=32.767 | random_action=5.00%:  34%|██████████████████████████▌                                                   | 340/1000 [15:00<19:58,  1.82s/it]
steps=349 | du=19 | best_du=145 | best_ep=173 | du_mean30=38.100 | random_action=5.00%:  35%|███████████████████████████▎                                                  | 350/1000 [15:46<53:17,  4.92s/it]
steps=359 | du=61 | best_du=145 | best_ep=173 | du_mean30=43.967 | random_action=5.00%:  36%|████████████████████████████                                                  | 360/1000 [16:18<38:28,  3.61s/it]
steps=369 | du=126 | best_du=154 | best_ep=362 | du_mean30=57.867 | random_action=5.00%:  37%|███████████████████████████▊                                               | 370/1000 [17:27<1:24:33,  8.05s/it]
steps=379 | du=85 | best_du=154 | best_ep=362 | du_mean30=68.800 | random_action=5.00%:  38%|█████████████████████████████▋                                                | 380/1000 [18:24<52:23,  5.07s/it]
steps=389 | du=30 | best_du=154 | best_ep=362 | du_mean30=75.700 | random_action=5.00%:  39%|██████████████████████████████▍                                               | 390/1000 [19:11<41:21,  4.07s/it]
steps=399 | du=94 | best_du=190 | best_ep=390 | du_mean30=84.867 | random_action=5.00%:  40%|███████████████████████████████▏                                              | 400/1000 [20:24<53:08,  5.31s/it]
steps=409 | du=63 | best_du=190 | best_ep=390 | du_mean30=81.467 | random_action=5.00%:  41%|███████████████████████████████▉                                              | 410/1000 [21:22<53:10,  5.41s/it]
steps=419 | du=21 | best_du=254 | best_ep=416 | du_mean30=87.333 | random_action=5.00%:  42%|███████████████████████████████▉                                            | 420/1000 [22:32<1:07:37,  7.00s/it]
steps=429 | du=55 | best_du=254 | best_ep=416 | du_mean30=74.767 | random_action=5.00%:  43%|█████████████████████████████████▌                                            | 430/1000 [23:14<36:57,  3.89s/it]
steps=439 | du=14 | best_du=254 | best_ep=416 | du_mean30=62.967 | random_action=5.00%:  44%|██████████████████████████████████▎                                           | 440/1000 [23:44<19:54,  2.13s/it]
steps=449 | du=36 | best_du=254 | best_ep=416 | du_mean30=44.633 | random_action=5.00%:  45%|███████████████████████████████████                                           | 450/1000 [24:05<17:07,  1.87s/it]
steps=459 | du=33 | best_du=254 | best_ep=416 | du_mean30=33.967 | random_action=5.00%:  46%|███████████████████████████████████▉                                          | 460/1000 [24:27<16:57,  1.88s/it]
steps=469 | du=57 | best_du=254 | best_ep=416 | du_mean30=34.533 | random_action=5.00%:  47%|████████████████████████████████████▋                                         | 470/1000 [24:57<24:15,  2.75s/it]
steps=479 | du=30 | best_du=254 | best_ep=416 | du_mean30=37.300 | random_action=5.00%:  48%|█████████████████████████████████████▍                                        | 480/1000 [25:25<29:55,  3.45s/it]
steps=489 | du=16 | best_du=254 | best_ep=416 | du_mean30=39.100 | random_action=5.00%:  49%|██████████████████████████████████████▏                                       | 490/1000 [25:52<19:37,  2.31s/it]
steps=499 | du=94 | best_du=254 | best_ep=416 | du_mean30=40.133 | random_action=5.00%:  50%|███████████████████████████████████████                                       | 500/1000 [26:38<54:34,  6.55s/it]
steps=509 | du=31 | best_du=254 | best_ep=416 | du_mean30=54.900 | random_action=5.00%:  51%|███████████████████████████████████████▊                                      | 510/1000 [27:29<27:46,  3.40s/it]
steps=519 | du=18 | best_du=254 | best_ep=416 | du_mean30=56.233 | random_action=5.00%:  52%|████████████████████████████████████████▌                                     | 520/1000 [28:04<23:41,  2.96s/it]
steps=529 | du=131 | best_du=254 | best_ep=416 | du_mean30=59.900 | random_action=5.00%:  53%|████████████████████████████████████████▊                                    | 530/1000 [28:49<39:42,  5.07s/it]
steps=539 | du=53 | best_du=254 | best_ep=416 | du_mean30=48.700 | random_action=5.00%:  54%|██████████████████████████████████████████                                    | 540/1000 [29:20<23:33,  3.07s/it]
steps=549 | du=34 | best_du=254 | best_ep=416 | du_mean30=52.567 | random_action=5.00%:  55%|██████████████████████████████████████████▉                                   | 550/1000 [29:59<26:31,  3.54s/it]
steps=559 | du=37 | best_du=254 | best_ep=416 | du_mean30=47.867 | random_action=5.00%:  56%|███████████████████████████████████████████▋                                  | 560/1000 [30:32<19:39,  2.68s/it]
